
Место	Название фильма	Год	Режиссёр	Жанры по версии IMDb
158	Ходячий замок	2004	Хаяо Миядзаки	приключенческая киноэпопея, аниме, рисованная анимация, мистический фильм, приключение, мультфильм, семейный фильм, фэнтезийный фильм
159	Монти Пайтон и Священный Грааль	1975	Терри Гиллиам, Терри Джонс	кинопародия, фильм про поиск, скетч-комедия, буффонада, «меч и колдовство», приключение, кинокомедия, фэнтезийный фильм
160	Человек-слон	1980	Дэвид Линч	докудрама, историческая драма, фильм-трагедия, байопик, драма
161	В случае убийства набирайте «М»	1954	Альфред Хичкок	детектив, триллер
162	Унесённые ветром	1939	Виктор Флеминг	костюмированная драма, эпический фильм, историческая драма, романтическая киноэпопея, романтическая драма, киноэпопея о войне, драма, романтический фильм, военный фильм
163	Клаус	2019	Серхио Паблос[англ.], Карлос Мартинес Лопес	рисованная анимация, мультфильм о празднике, комедия о празднике, семейный фильм о празднике, приключение, мультфильм, кинокомедия, семейный фильм, фэнтезийный фильм, фильм о празднике
164	Расёмон	1950	Акира Куросава	историческая драма, детектив, драма, фильм-тайна
165	Китайский квартал	1974	Роман Полански	фильм о теории заговора, крутой детектив, психологическая драма, психологический триллер, фильм-трагедия, драма, фильм-тайна, триллер
166	Тайна в его глазах	2009	Хуан Хосе Кампанелья	чёрная мелодрама, эротический триллер, юридический триллер, историческая драма, психологическая драма, психологический триллер, мистический триллер, фильм-трагедия, фильм про расследование, драма
167	Карты, деньги, два ствола	1998	Гай Ричи	фарс, кинокомедия, детектив
168	V — значит вендетта	2006	Джеймс Мактиг	антиутопия, политический триллер, супергеройский фильм, боевик, драма, научная фантастика, триллер
169	Головоломка	2015	Пит Доктер	фильм про взросление, компьютерная анимация, приключение, мультфильм, кинокомедия, драма, семейный фильм, фэнтезийный фильм
170	Три билборда на границе Эббинга, Миссури	2017	Мартин Макдонах	чёрная комедия, сатирический фильм, кинокомедия, детектив, драма
171	Мост через реку Квай	1957	Дэвид Лин	фильм о приключениях в джунглях, киноэпопея о войне, приключение, драма, военный фильм
172	На игле	1996	Дэнни Бойл	чёрная комедия, психологическая драма, драма
173	Поймай меня, если сможешь	2002	Стивен Спилберг	капер-фильм[англ.], фильм про взросление, докудрама, историческая драма, тру-крайм, байопик, детектив, драма
174	Бешеный бык	1980	Мартин Скорсезе	фильм про бокс, докудрама, байопик, драма, фильм о спорте
175	Дикий робот	2024	Крис Сандерс	компьютерная анимация, фильм-выживание, мультфильм, научная фантастика
176	Фарго	1996	Братья Коэн	полицейская драма, чёрная комедия, полицейский процедурал, фильм-трагедия, детектив, драма, триллер
177	Воин	2011	Гэвин О’Коннор	фильм про бокс, боевик, драма, фильм о спорте
178	Гарри Поттер и Дары Смерти. Часть 2	2011	Дэвид Йейтс	тёмное фэнтези, подростковый приключенческий фильм, подростковый фильм-фэнтези, приключение, семейный фильм, фэнтезийный фильм, фильм-тайна
179	Гран Торино	2008	Клинт Иствуд	драма
180	Малышка на миллион	2004	Клинт Иствуд	фильм про бокс, фильм-трагедия, драма, фильм о спорте
181	Мой сосед Тоторо	1988	Хаяо Миядзаки	аниме, рисованная анимация, иясикэй, мультфильм, кинокомедия, семейный фильм, фэнтезийный фильм
182	Безумный Макс: Дорога ярости	2015	Джордж Миллер	эпический боевик, приключенческая киноэпопея, автомобильный боевик, фильм о приключениях в пустыне, антиутопия, фильм про поиск, фильм о дорожном приключении, боевик, приключение, научная фантастика
183	Бен-Гур	1959	Уильям Уайлер	приключенческая киноэпопея, эпический фильм, историческая драма, пеплум, приключение, драма
184	Человек-паук: Нет пути домой	2021	Джон Уоттс	супергеройский фильм, мистический фильм, фильм о городском приключении, боевик, приключение, фэнтезийный фильм, научная фантастика
185	Барри Линдон	1975	Стэнли Кубрик	костюмированная драма, эпический фильм, историческая драма, приключение, драма, военный фильм
186	Общество мёртвых поэтов	1989	Питер Уир	фильм про взросление, подростковая драма, кинокомедия, драма
187	Дети небес	1997	Маджид Маджиди	драма, семейный фильм, фильм о спорте
188	12 лет рабства	2013	Стив Маккуин	костюмированная драма, докудрама, эпический фильм, историческая драма, фильм-трагедия, байопик, драма, исторический фильм
189	Перед рассветом	1995	Ричард Линклейтер	драма, романтический фильм
190	Отель «Гранд Будапешт»	2014	Уэс Андерсон	капер-фильм[англ.], причудливая комедия, приключение, кинокомедия, детектив
191	Бегущий по лезвию	1982	Ридли Скотт	фильм об искусственном интеллекте, технотриллер, киберпанк, антиутопия, боевик, драма, научная фантастика, триллер
192	По соображениям совести	2016	Мел Гибсон	докудрама, эпический фильм, историческая драма, киноэпопея о войне, байопик, драма, исторический фильм, военный фильм
193	Исчезнувшая	2014	Дэвид Финчер	эротический триллер, психологическая драма, психологический триллер, мистический триллер, фильм-трагедия, драма, фильм-тайна, триллер
194	Воспоминания об убийстве	2003	Пон Чжун Хо	чёрная комедия, K-drama, полицейский процедурал, фильм о серийном убийце[нем.], тру-крайм, детектив, драма, фильм-тайна, триллер
195	Рататуй	2007	Брэд Бёрд	фильм о приключениях животных, компьютерная анимация, приключение, мультфильм, кинокомедия, семейный фильм, фэнтезийный фильм
196	Корпорация монстров	2001	Пит Доктер, Дэвид Сильверман	приятельская комедия, компьютерная анимация, мистический фильм, фильм о городском приключении, приключение, мультфильм, кинокомедия, семейный фильм, фэнтезийный фильм
197	Во имя отца	1993	Джим Шеридан	докудрама, юридическая драма, историческая драма, тюремная драма, фильм-трагедия, тру-крайм, байопик, детектив, драма
198	Как приручить дракона	2010	Крис Сандерс, Дин Деблуа	компьютерная анимация, «меч и колдовство», подростковый фильм-фэнтези, боевик, приключение, мультфильм, семейный фильм, фэнтезийный фильм
199	Золотая лихорадка	1925	Чарли Чаплин	фарс, оптимистичный романтический фильм, романтическая комедия, буффонада, приключение, кинокомедия, драма, романтический фильм, вестерн
200	Дикие истории	2014	Шифрон, Дамиан	чёрная комедия, кинокомедия, драма, триллер
201	Шерлок-младший	1924	Бастер Китон	фильм о частном детективе, фарс, оптимистичный романтический фильм, буффонада, боевик, кинокомедия, романтический фильм
202	Челюсти	1975	Стивен Спилберг	фильм о морском приключении, фильм-выживание, приключение, драма, триллер
203	Мэри и Макс	2009	Адам Эллиот	взрослая анимация, фильм про взросление, чёрная комедия, покадровая анимация, мультфильм, кинокомедия, драма
204	Охотник на оленей	1978	Майкл Чимино	эпический фильм, киноэпопея о войне, драма, военный фильм
205	Ford против Ferrari	2019	Джеймс Мэнголд	докудрама, фильм о мотоспорте, историческая драма, боевик, байопик, драма, фильм о спорте
206	Генерал	1927	Клайд Брукман[англ.], Бастер Китон	фарс, буффонада, боевик, приключение, кинокомедия, драма, военный фильм
207	Плата за страх	1953	Анри-Жорж Клузо	психологическая драма, фильм-выживание, приключение, драма, триллер
208	В порту	1954	Элиа Казан	детектив, драма, триллер
209	Мистер Смит едет в Вашингтон	1939	Фрэнк Капра	политическая драма, кинокомедия, драма
210	Земляничная поляна	1957	Ингмар Бергман	психологическая драма, драма, романтический фильм
